File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::LastChildElement( const char* name ) const,8,8,6,4,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::NextSiblingElement( const char* name ) const,8,8,6,4,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::PreviousSiblingElement( const char* name ) const,8,8,6,4,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLNode::ParseDeep( char* p, StrPair* parentEndTag, int* curLineNumPtr )",101,71,52,25,8,1,22,147,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::DeleteNode( XMLNode* node ),12,11,9,2,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::InsertChildPreamble( XMLNode* insertThis ) const,11,10,8,1,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::ToElementWithName( const char* name ) const,12,12,9,7,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLText::ParseDeep( char* p, StrPair*, int* curLineNumPtr )",23,22,16,8,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLText::ShallowClone( XMLDocument* doc ) const,7,7,6,2,0,1,0,7,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLText::ShallowEqual( const XMLNode* compare ) const,4,4,4,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLText::Accept( XMLVisitor* visitor ) const,3,3,3,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLComment::XMLComment( XMLDocument* doc ),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLComment::~XMLComment(),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLComment::ParseDeep( char* p, StrPair*, int* curLineNumPtr )",7,6,5,2,0,0,1,4,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLComment::ShallowClone( XMLDocument* doc ) const,6,6,5,2,0,1,0,7,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLComment::ShallowEqual( const XMLNode* compare ) const,4,4,4,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLComment::Accept( XMLVisitor* visitor ) const,3,3,3,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLDeclaration::XMLDeclaration( XMLDocument* doc ),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLDeclaration::~XMLDeclaration(),2,1,1,0,0,0,1,3,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLDeclaration::ParseDeep( char* p, StrPair*, int* curLineNumPtr )",7,6,5,2,0,0,1,4,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLDeclaration::ShallowClone( XMLDocument* doc ) const,6,6,5,2,0,1,0,7,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLDeclaration::ShallowEqual( const XMLNode* compare ) const,4,4,4,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLDeclaration::Accept( XMLVisitor* visitor ) const,3,3,3,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLUnknown::XMLUnknown( XMLDocument* doc ),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLUnknown::~XMLUnknown(),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUnknown::ParseDeep( char* p, StrPair*, int* curLineNumPtr )",7,6,5,2,0,0,1,4,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLUnknown::ShallowClone( XMLDocument* doc ) const,6,6,5,2,0,1,0,7,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLUnknown::ShallowEqual( const XMLNode* compare ) const,4,4,4,1,0,0,0,0,
